DATAFLOW,FREQ,REF_AREA,DATA_TYPE,SEX,AGE,CITIZENSHIP,TYPE_OF_COUPLE,HOUSEHOLD_TYPOLOGY,PRESENCE_IN_ITALY,EDU_LEV_HIGHEST,LABOUR_PROFESS_STATUS,LANGUAGE,SATISFACTION_LIFE_WORK,DISCRIMINATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_SEX,NOTE_AGE,NOTE_CITIZENSHIP,NOTE_TYPE_OF_COUPLE,NOTE_HOUSEHOLD_TYPOLOGY,NOTE_PRESENCE_IN_ITALY,NOTE_EDU_LEV_HIGHEST,NOTE_LABOUR_PROFESS_STATUS,NOTE_LANGUAGE,NOTE_SATISFACTION_LIFE_WORK,NOTE_DISCRIMINATION,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,ATL_1MINP,ALL,99,ALL,ALL,ALL,ALL,2012,205864,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_1FHH_W_ORS,ALL,99,ALL,ALL,ALL,ALL,2012,41266,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_1FHH_WH_ORS,ALL,99,ALL,ALL,ALL,ALL,2012,240957,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_GE2_FHH,ALL,99,ALL,ALL,ALL,ALL,2012,19729,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,494336,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,IT_HH,ALL,99,ALL,ALL,ALL,ALL,2012,135201,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,NFHH,ALL,99,ALL,ALL,ALL,ALL,2012,192384,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,NO_MINP,ALL,99,ALL,ALL,ALL,ALL,2012,288472,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM_PERCTF,9,TOTAL,WRL_X_ITA,COUP_FOR,ALL_NNAT,ALL,99,ALL,ALL,ALL,ALL,2012,72.6,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM_PERCTF,9,TOTAL,WRL_X_ITA,COUP_FOR,ATL_1MINP,ALL,99,ALL,ALL,ALL,ALL,2012,41.6,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM_PERCTF,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_1FHH_W_ORS,ALL,99,ALL,ALL,ALL,ALL,2012,8.3,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM_PERCTF,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_1FHH_WH_ORS,ALL,99,ALL,ALL,ALL,ALL,2012,48.7,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM_PERCTF,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_GE2_FHH,ALL,99,ALL,ALL,ALL,ALL,2012,4,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM_PERCTF,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,100,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM_PERCTF,9,TOTAL,WRL_X_ITA,COUP_FOR,IT_HH,ALL,99,ALL,ALL,ALL,ALL,2012,27.4,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM_PERCTF,9,TOTAL,WRL_X_ITA,COUP_FOR,NFHH,ALL,99,ALL,ALL,ALL,ALL,2012,38.9,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITE,NFAM_PERCTF,9,TOTAL,WRL_X_ITA,COUP_FOR,NO_MINP,ALL,99,ALL,ALL,ALL,ALL,2012,58.4,,,,,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITFG,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,ALL_NNAT,ALL,99,ALL,ALL,ALL,ALL,2012,215522,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITFG,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,ATL_1MINP,ALL,99,ALL,ALL,ALL,ALL,2012,111266,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITFG,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_1FHH_W_ORS,ALL,99,ALL,ALL,ALL,ALL,2012,18891,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITFG,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_1FHH_WH_ORS,ALL,99,ALL,ALL,ALL,ALL,2012,145118,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITFG,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_GE2_FHH,ALL,99,ALL,ALL,ALL,ALL,2012,10853,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITFG,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,FR_HH,ALL,99,ALL,ALL,ALL,ALL,2012,300163,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITFG,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,IT_HH,ALL,99,ALL,ALL,ALL,ALL,2012,84641,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
IT1:29_956_DF_DCIS_CV_STRA_7(1.0),A,ITFG,NFAM,9,TOTAL,WRL_X_ITA,COUP_FOR,NFHH,ALL,99,ALL,ALL,ALL,ALL,2012,125300,,,,TIPO_DATO_CVSTRA__NFAM_N1,,,,,TIP_FAM__IT_HH_N1,,,,,,,,,
